Date,Open,High,Low,Close,Adj Close,Volume
2020-10-18,7.726280,7.774670,7.702526,7.747950,7.747950,3040002
2020-10-19,7.760974,8.081473,7.700000,7.776900,7.776900,4914439
2020-10-20,7.788861,7.853336,7.424811,7.504925,7.504925,5098377
2020-10-21,7.506752,8.018392,7.500861,7.875573,7.875573,5348425
2020-10-22,7.874228,8.072672,7.865083,7.941930,7.941930,4970057
2020-10-23,7.937252,7.945953,7.788371,7.877449,7.877449,5643797
2020-10-24,7.878568,7.965108,7.845805,7.954335,7.954335,4382401
2020-10-25,7.953154,8.011001,7.863181,7.939985,7.939985,5152988
2020-10-26,7.941613,7.982110,7.476721,7.569144,7.569144,5149902
2020-10-27,7.569790,7.698101,7.488971,7.631381,7.631381,4965389
2020-10-28,7.635117,7.653191,7.192599,7.357377,7.357377,5367042
2020-10-29,7.357413,7.378110,7.170483,7.221903,7.221903,4443630
2020-10-30,7.222057,7.310568,7.138667,7.171119,7.171119,3602119
2020-10-31,7.171147,7.258387,7.100652,7.172238,7.172238,3649639
2020-11-01,7.172198,7.316862,7.154971,7.248093,7.248093,4135840
2020-11-02,7.247949,7.293941,6.978688,7.025255,7.025255,4125645
2020-11-03,7.023624,7.068256,6.813460,6.998094,6.998094,4169703
2020-11-04,7.004207,7.218297,6.907109,7.122187,7.122187,4274229
2020-11-05,7.124615,7.396541,7.068118,7.335783,7.335783,4303593
2020-11-06,7.337816,7.716630,7.278903,7.688642,7.688642,4774633
2020-11-07,7.691131,7.860174,7.247148,7.374872,7.374872,5843671
2020-11-08,7.372141,7.627642,7.337560,7.503113,7.503113,3760472
2020-11-09,7.501932,7.637144,7.231505,7.352408,7.352408,4576901
2020-11-10,7.353220,7.496030,7.213583,7.413726,7.413726,5068614
2020-11-11,7.413493,7.499032,7.296653,7.450314,7.450314,5341543
2020-11-12,7.449788,7.712378,7.350796,7.517235,7.517235,6561174
2020-11-13,7.517224,7.703329,7.449949,7.559157,7.559157,5107876
2020-11-14,7.559151,7.748871,7.334983,7.679396,7.679396,6206114
2020-11-15,7.679676,7.850199,7.248083,7.408052,7.408052,5898864
2020-11-16,7.408041,7.801508,7.244327,7.614251,7.614251,5876353
2020-11-17,7.671958,8.136775,7.671958,7.927691,7.927691,7040204
2020-11-18,7.921445,10.043496,7.921445,9.486152,9.486152,43171564
2020-11-19,9.489443,9.600598,8.488811,8.819199,8.819199,16286190
2020-11-20,8.819111,9.636768,8.784625,9.397370,9.397370,16781992
2020-11-21,9.397239,9.837892,9.293367,9.835532,9.835532,13700459
2020-11-22,9.835566,10.398821,6.514110,9.517961,9.517961,11973235
2020-11-23,9.517157,12.121453,2.536555,12.065363,12.065363,11378186
2020-11-24,12.075675,12.716550,9.948812,10.089924,10.089924,21276031
2020-11-25,10.088945,10.405282,9.792871,9.876108,9.876108,11497050
2020-11-26,9.875278,10.030420,8.070700,8.492879,8.492879,14201925
2020-11-27,8.503977,8.832713,8.359027,8.717901,8.717901,7425237
2020-11-28,8.719496,9.155664,8.646863,9.087581,9.087581,5664491
2020-11-29,9.085117,9.291607,8.872275,9.199799,9.199799,4942934
2020-11-30,9.200460,9.659920,8.940639,9.646517,9.646517,9217191
2020-12-01,9.654728,9.654728,8.962689,9.050255,9.050255,9981454
2020-12-02,9.052996,9.249103,8.866010,9.222906,9.222906,6848034
2020-12-03,9.224243,9.672006,9.176991,9.416256,9.416256,10938997
2020-12-04,9.425744,9.779545,9.143155,9.254519,9.254519,15092907
2020-12-05,9.252786,9.480086,9.155473,9.446552,9.446552,9411368
2020-12-06,9.442997,9.518368,9.082437,9.357561,9.357561,5773143
2020-12-07,9.362008,9.429596,9.030984,9.158842,9.158842,6383834
2020-12-08,9.153939,9.359024,8.514908,8.647899,8.647899,6578735
2020-12-09,8.644632,8.717136,8.238522,8.672276,8.672276,6579460
2020-12-10,8.677645,8.677645,8.287073,8.368823,8.368823,4731840
2020-12-11,8.366342,8.377679,8.042471,8.162942,8.162942,4888287
2020-12-12,8.161969,8.589342,8.154125,8.528741,8.528741,5341159
2020-12-13,8.535205,9.075843,8.483294,8.826715,8.826715,11673714
2020-12-14,8.830179,8.954616,8.637634,8.746736,8.746736,7432497
2020-12-15,8.752532,8.934648,8.673810,8.849460,8.849460,5817574
2020-12-16,8.848852,9.353645,8.666352,9.342390,9.342390,8490415
2020-12-17,9.344788,9.961669,9.206229,9.469941,9.469941,15825400
2020-12-18,9.472499,10.045832,9.220020,9.615255,9.615255,14193738
2020-12-19,9.610503,9.922831,9.485241,9.697656,9.697656,11246536
2020-12-20,9.696868,10.079199,9.454267,9.802190,9.802190,12572137
2020-12-21,9.803938,10.017794,9.017165,9.153440,9.153440,14385986
2020-12-22,9.146219,9.216614,8.733873,9.119548,9.119548,8898792
2020-12-23,9.117097,9.122373,7.504346,7.972757,7.972757,12326727
2020-12-24,7.970271,8.500224,7.678580,8.493358,8.493358,9261637
2020-12-25,8.490445,8.833805,8.252744,8.491619,8.491619,8989161
2020-12-26,8.487957,8.718888,8.331751,8.664886,8.664886,9354633
2020-12-27,8.667733,9.141651,8.487878,8.717878,8.717878,18104810
2020-12-28,8.713605,9.044625,8.629486,8.695596,8.695596,10893409
2020-12-29,8.690434,8.708405,8.088011,8.441392,8.441392,11999548
2020-12-30,8.431569,8.681065,8.387207,8.545785,8.545785,8970840
2020-12-31,8.548300,8.613083,8.267095,8.414891,8.414891,7754405
2021-01-01,8.409172,8.662134,8.368423,8.498152,8.498152,6954398
2021-01-02,8.501865,8.836350,8.382407,8.503832,8.503832,11861095
2021-01-03,8.504896,9.008304,8.379369,8.917471,8.917471,16136556
2021-01-04,8.897135,9.682450,8.276582,8.906230,8.906230,19038320
2021-01-05,8.904878,9.351222,8.695920,9.135838,9.135838,19131999
2021-01-06,9.149445,9.674256,8.999547,9.608816,9.608816,15380010
2021-01-07,9.621610,11.233197,9.538321,10.465055,10.465055,47684937
